query,start,end,day_count
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-18T00:00:00.000Z,2021-10-19T00:00:00.000Z,29881
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-19T00:00:00.000Z,2021-10-20T00:00:00.000Z,31104
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-20T00:00:00.000Z,2021-10-21T00:00:00.000Z,32687
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-21T00:00:00.000Z,2021-10-22T00:00:00.000Z,31435
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-22T00:00:00.000Z,2021-10-23T00:00:00.000Z,32014
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-23T00:00:00.000Z,2021-10-24T00:00:00.000Z,27932
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-24T00:00:00.000Z,2021-10-25T00:00:00.000Z,24134
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-25T00:00:00.000Z,2021-10-26T00:00:00.000Z,39945
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-26T00:00:00.000Z,2021-10-27T00:00:00.000Z,33650
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-27T00:00:00.000Z,2021-10-28T00:00:00.000Z,32482
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-28T00:00:00.000Z,2021-10-29T00:00:00.000Z,27932
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-29T00:00:00.000Z,2021-10-30T00:00:00.000Z,61508
(taliban OR afghanistan OR afghan OR (Islamic Emirate) OR kabul OR pashtun OR kandahar OR pashtuns OR (Ashraf Ghani)) lang:en -is:retweet,2021-10-30T00:00:00.000Z,2021-10-31T00:00:00.000Z,39685
